種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,元動画タイトル,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
動画,マーチング団体等,鎌倉女子大学中等部・高等部マーチングバンド,鎌倉女子大学中等部・高等部マーチングバンド,o1fgqocl,2019-11-29,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 鎌倉女子大学中等部・高等部マーチングバンド,,https://www.youtube.com/watch?v=-cM0Wtjd5wY,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,鎌倉女子大学中等部・高等部マーチングバンド,鎌倉女子大学中等部・高等部マーチングバンド,o1fgqocl,2019-11-29,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS 鎌倉女子大学中等部・高等部マーチングバンド,,https://www.youtube.com/watch?v=5nJPN8O398M,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,THE YOKOHAMA SCOUTS,THE YOKOHAMA SCOUTS,oephwul,2019-11-29,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS THE YOKOHAMA SCOUTS,,https://www.youtube.com/watch?v=Oxy8s1EH19U,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SATSUKI DREAMERS Marchingband,SATSUKI DREAMERS Marchingband,o62ysud,2019-11-29,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS SATSUKI DREAMERS Marchingband,,https://www.youtube.com/watch?v=49dpxqhcFU4,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,GENESIS,GENESIS,ooulsx2,2019-11-29,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS GENESIS,,https://www.youtube.com/watch?v=n8NX1CQl_vc,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Yokohama INSPIRES,Yokohama INSPIRES Drum&Bugle Corps,o1a32hho,2019-11-27,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS Yokohama INSPIRES,,https://www.youtube.com/watch?v=_P_fiJbOAtY,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,FUKUOKA Dream Scouts performance corps,FUKUOKA Dream Scouts performance corps,oom6uzj,2019-11-27,2019 DCJ The27th ALL JAPAN CHAMPIONSHIPS FUKUOKA Dream Scouts performance corps,,https://www.youtube.com/watch?v=FOqnxNCMc3E,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,湘南ドルフィンズマーチングバンド,湘南ドルフィンズ・マーチングバンド,o1nov4hn,2019-03-15,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS　湘南ドルフィンズマーチングバンド,,https://www.youtube.com/watch?v=fJ0Bes6D250,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SONIC LANCERS,SONIC LANCERS,o1ed2qxk,2019-03-15,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS  SONIC LANCERS,,https://www.youtube.com/watch?v=SqI_ytiKohk,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,PHOENIX REGIMENT,東京実業高等学校Phoenix Regiment Drum&Bugle Corps,o1nlulwf,2019-03-14,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS　PHOENIX REGIMENT,,https://www.youtube.com/watch?v=txqtGzVCbl8,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Tokyo Phoenix,Tokyo Phoenix Drum&Bugle Corps,ofza5wl,2019-03-14,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS Tokyo Phoenix,,https://www.youtube.com/watch?v=YrSV-lxIaWs,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Legend of Angels,Legend of ANGELS Drum&Bugle Corps,o1slw9jm,2019-03-14,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS Legend of Angels,,https://www.youtube.com/watch?v=ruN-aYnYigo,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,IMPERIAL SOUND,Imperial Sound Drum&Bugle Corps,o1o6zc1c,2019-03-01,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS  IMPERIAL SOUND,,https://www.youtube.com/watch?v=dHmC9LcnW5M,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,JOKERS,JOKERS,ojz17lo,2019-01-22,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS  JOKERS,,https://www.youtube.com/watch?v=HmJOtFPi7Pw,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SATSUKI DREAMERS Marchingband,SATSUKI DREAMERS Marchingband,o62ysud,2019-01-21,2018 DCJ the26th ALL JAPAN CHAMPIONSHIPS SATSUKI DREAMERS Marchingband,,https://www.youtube.com/watch?v=BymlQgIQqmc,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
